guilt,dem,rep,,ind,age,educ,female,black,hispanic,income
NA,0,1,1,0,40,14,1,0,0,40000
0,0,1,1,0,79,14,1,0,0,40000
1,0,1,1,0,20,14,1,0,0,40000
0,0,1,1,0,22,14,1,0,0,40000
0,0,1,1,0,27,14,0,0,0,40000
1,0,1,1,0,56,14,0,0,0,40000
1,0,1,1,0,53,14,1,0,0,40000
1,0,1,1,0,40,14,0,0,0,40000
1,0,1,1,0,40,14,1,0,0,40000
1,0,1,1,0,41,14,0,0,0,40000
1,0,1,1,0,53,14,0,0,0,40000
1,0,1,1,0,78,14,1,0,0,40000
1,0,1,1,0,42,14,0,0,0,40000
0,0,1,1,0,41,14,1,0,0,40000
1,0,1,1,0,30,14,0,0,0,40000
1,0,1,1,0,43,14,1,0,0,40000
1,0,1,1,0,61,14,1,0,0,40000
0,0,1,1,0,37,14,1,0,0,40000
1,0,1,1,0,20,14,0,0,0,40000
1,0,1,1,0,41,14,1,0,0,40000
1,0,1,1,0,22,14,0,0,1,40000
0,0,1,1,0,27,14,1,0,0,40000
1,0,1,1,0,55,14,0,0,0,40000
1,0,1,1,0,62,14,1,0,0,40000
1,0,1,1,0,40,14,1,0,1,40000
1,0,1,1,0,51,14,0,0,0,40000
1,0,1,1,0,30,14,0,0,0,40000
0,0,1,1,0,30,14,1,1,0,40000
NA,0,1,1,0,20,14,1,0,0,40000
NA,0,1,1,0,49,14,1,0,0,40000
0,0,1,1,0,42,14,0,0,0,40000
NA,0,1,1,0,19,14,1,0,1,40000
1,0,1,1,0,59,14,0,0,1,40000
NA,0,1,1,0,34,14,1,1,0,40000
1,0,1,1,0,70,14,1,0,0,40000
1,0,1,1,0,27,14,1,0,0,40000
1,0,1,1,0,60,14,0,0,0,40000
1,0,1,1,0,34,14,0,0,0,40000
1,0,1,1,0,37,14,0,0,0,40000
0,1,0,1,0,70,14,1,0,0,40000
1,1,0,1,0,72,14,1,0,0,40000
NA,0,0,0,0,32,14,0,0,0,40000
0,1,0,1,0,29,14,1,0,0,40000
1,1,0,1,0,32,14,0,0,1,40000
1,1,0,1,0,37,14,1,0,0,40000
0,1,0,1,0,45,14,1,1,0,40000
1,1,0,1,0,70,14,1,0,0,40000
0,1,0,1,0,37,14,1,0,0,40000
0,1,0,1,0,62,14,1,0,0,40000
1,1,0,1,0,35,14,1,1,0,40000
1,1,0,1,0,62,14,0,0,0,40000
0,1,0,1,0,37,14,1,1,0,40000
NA,1,0,1,0,42,14,1,1,0,40000
0,1,0,1,0,47,14,0,1,0,40000
1,1,0,1,0,41,14,1,0,0,40000
1,0,0,0,0,44,14,0,0,0,40000
1,0,0,0,0,35,14,1,0,0,40000
1,1,0,1,0,46,14,1,0,0,40000
1,1,0,1,0,38,14,1,0,1,40000
1,0,0,0,0,50,14,0,0,0,40000
1,1,0,1,0,37,14,0,1,0,40000
1,0,0,0,0,45,14,0,0,0,40000
0,1,0,1,0,42,14,0,1,0,40000
1,1,0,1,0,41,14,0,0,0,40000
1,1,0,1,0,48,14,1,0,0,40000
0,1,0,1,0,20,14,1,1,0,40000
0,1,0,1,0,49,14,1,0,0,40000
1,1,0,1,0,23,14,0,0,0,40000
0,1,0,1,0,41,14,1,1,0,40000
0,1,0,1,0,31,14,1,1,0,40000
1,1,0,1,0,59,14,1,1,0,40000
1,0,0,0,0,32,14,0,1,0,40000
0,1,0,1,0,46,14,0,1,0,40000
0,1,0,1,0,52,14,1,0,0,40000
0,1,0,1,0,33,14,0,1,0,40000
1,1,0,1,0,43,14,0,0,0,40000
0,1,0,1,0,50,14,1,0,0,40000
0,1,0,1,0,27,14,1,0,0,40000
0,1,0,1,0,56,14,1,0,0,40000
1,1,0,1,0,38,14,0,0,0,40000
0,0,0,0,0,70,14,1,0,0,40000
1,1,0,1,0,30,14,0,0,0,40000
0,1,0,1,0,44,14,1,1,0,40000
0,1,0,1,0,91,14,0,0,0,40000
0,0,0,0,0,32,14,0,1,0,40000
0,1,0,1,0,41,14,1,1,0,40000
1,1,0,1,0,24,14,0,0,1,40000
0,1,0,1,0,24,14,1,1,0,40000
1,1,0,1,0,24,14,1,1,0,40000
0,1,0,1,0,43,14,1,1,0,40000
1,0,0,0,0,35,14,0,0,0,40000
1,0,0,0,0,72,14,1,0,0,40000
0,0,0,0,0,31,14,0,1,0,40000
0,1,0,1,0,65,14,1,1,0,40000
1,1,0,1,0,21,14,0,0,1,40000
1,1,0,1,0,41,14,1,0,0,40000
1,1,0,1,0,60,14,1,0,0,40000
1,1,0,1,0,99,14,1,0,0,40000
1,1,0,1,0,38,14,1,0,1,40000
1,0,0,0,0,99,14,1,0,0,40000
0,1,0,1,0,29,14,0,1,0,40000
NA,0,0,0,0,48,14,0,1,0,40000
1,1,0,1,0,36,14,1,0,0,40000
1,1,0,1,0,43,14,1,0,0,40000
1,1,0,1,0,43,14,0,1,0,40000
1,1,0,1,0,50,14,1,0,1,40000
0,1,0,1,0,30,14,1,0,0,40000
0,1,0,1,0,39,14,0,1,0,40000
0,1,0,1,0,34,14,1,1,0,40000
0,1,0,1,0,44,14,0,1,0,40000
0,0,0,0,0,32,14,0,1,0,40000
1,0,0,0,0,46,14,0,0,0,40000
0,1,0,1,0,36,14,1,1,0,40000
0,1,0,1,0,41,14,1,0,0,40000
1,0,0,0,0,43,14,0,0,0,40000
1,1,0,1,0,55,14,0,0,0,40000
1,1,0,1,0,39,14,1,0,0,40000
1,1,0,1,0,43,14,0,0,0,40000
0,1,0,1,0,19,14,1,1,0,40000
NA,1,0,1,0,60,14,1,1,0,40000
1,1,0,1,0,24,14,1,0,0,40000
0,1,0,1,0,20,14,0,1,0,40000
1,1,0,1,0,57,14,0,0,0,40000
1,1,0,1,0,22,14,1,0,0,40000
1,1,0,1,0,38,14,0,0,0,40000
1,1,0,1,0,51,14,1,0,0,40000
1,0,1,1,0,48,,0,0,0,40000
1,0,1,1,0,63,5,1,0,0,40000
1,0,1,1,0,72,5,1,0,0,40000
1,0,1,1,0,29,5,0,0,1,40000
NA,0,1,1,0,99,5,1,0,0,40000
0,1,0,1,0,18,5,0,0,0,40000
0,1,0,1,0,24,5,0,1,0,40000
0,1,0,1,0,71,5,0,1,0,40000
0,1,0,1,0,66,5,1,0,0,40000
1,0,0,0,0,65,5,0,0,0,40000
NA,0,0,0,0,62,5,1,0,0,40000
1,0,1,1,0,29,12,0,0,0,40000
0,0,1,1,0,27,12,1,1,0,40000
1,0,1,1,0,43,12,1,0,0,40000
1,0,1,1,0,36,12,0,0,0,40000
1,0,1,1,0,69,12,1,0,0,40000
0,0,1,1,0,19,12,1,0,0,40000
1,0,1,1,0,66,12,1,0,0,40000
0,0,1,1,0,60,12,1,0,0,40000
1,0,1,1,0,48,12,1,0,0,40000
0,0,1,1,0,22,12,1,0,0,40000
1,0,1,1,0,55,12,1,0,0,40000
1,0,1,1,0,21,12,0,0,0,40000
1,0,1,1,0,71,12,1,0,0,40000
1,0,1,1,0,60,12,1,0,0,40000
1,0,1,1,0,49,12,1,0,0,40000
1,0,1,1,0,37,12,1,0,0,40000
1,0,1,1,0,66,12,1,0,0,40000
1,0,1,1,0,27,12,1,0,0,40000
1,0,1,1,0,32,12,1,0,0,40000
NA,0,1,1,0,62,12,1,0,0,40000
1,0,1,1,0,54,12,0,0,0,40000
1,0,1,1,0,37,12,0,0,0,40000
1,0,1,1,0,72,12,1,0,0,40000
1,0,1,1,0,36,12,1,0,0,40000
1,0,1,1,0,31,12,0,0,0,40000
1,0,1,1,0,37,12,1,0,0,40000
1,0,1,1,0,47,12,1,0,0,40000
0,0,1,1,0,19,12,1,1,0,40000
1,0,1,1,0,32,12,1,0,0,40000
1,0,1,1,0,47,12,0,0,0,40000
1,0,1,1,0,41,12,0,0,0,40000
1,0,1,1,0,57,12,1,0,0,40000
